"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"74","03-14",27.6,33.5,67.52,70.27,48.66,35.46,37.37,40.15,44.63,44.34,41.46,61.51,NA,27.6,70.27,46.0391666666667,"PL"
"75","03-15",28.6,33.45,66.89,70.18,48.54,35.34,37.09,39.89,44.54,44.4,41.2,61.56,NA,28.6,70.18,45.9733333333333,"PL"
"76","03-16",29.31,33.41,66.57,70.07,48.43,35.18,36.78,39.52,44.36,44.47,40.97,61.61,NA,29.31,70.07,45.89,"PL"
"77","03-17",29.59,33.36,66.45,69.92,48.31,35.02,36.52,39.21,44.32,44.72,40.69,61.58,NA,29.59,69.92,45.8075,"PL"
"78","03-18",30.16,33.33,66.34,69.77,48.16,34.86,36.14,38.81,44.22,44.98,40.29,61.69,NA,30.16,69.77,45.7291666666667,"PL"
"79","03-19",30.59,33.34,66.22,69.64,47.96,34.71,35.75,38.27,44.04,45.24,39.88,61.88,NA,30.59,69.64,45.6266666666667,"PL"
"80","03-20",30.87,33.34,66.23,69.52,47.82,34.55,35.31,37.84,43.84,45.5,39.56,61.89,NA,30.87,69.52,45.5225,"PL"
"81","03-21",31.16,33.3,66.25,69.46,47.68,34.4,35.11,37.43,43.74,45.72,39.21,61.94,NA,31.16,69.46,45.45,"PL"
"82","03-22",31.44,33.22,66.27,69.42,47.57,34.25,34.88,37.18,43.7,45.82,38.85,62.2,NA,31.44,69.42,45.4,"PL"
"83","03-23",32.15,33.18,66.24,69.33,47.57,34.09,34.58,37.01,43.55,45.81,38.57,62.55,NA,32.15,69.33,45.3858333333333,"PL"
"84","03-24",33.01,33.14,66.12,69.16,47.42,33.83,34.15,36.89,43.44,45.82,38.33,62.77,NA,33.01,69.16,45.34,"PL"
"85","03-25",34,33.11,66.04,68.93,47.33,33.59,33.75,36.91,43.34,45.88,38.2,63.11,NA,33.11,68.93,45.3491666666667,"PL"
"86","03-26",34.86,33.05,65.85,68.71,47.26,33.37,33.39,36.84,43.08,45.95,38.15,63.6,NA,33.05,68.71,45.3425,"PL"
"87","03-27",35.57,32.94,65.68,68.57,47.22,33.2,33.05,36.62,42.79,46.08,38.22,64.04,NA,32.94,68.57,45.3316666666667,"PL"
"88","03-28",36.28,32.84,65.66,68.5,47.14,33.13,32.68,36.41,42.6,46.2,38.12,64.5,NA,32.68,68.5,45.3383333333333,"PL"
"89","03-29",36.85,32.8,65.72,68.46,47.06,32.97,32.39,36.2,42.27,46.16,38.03,64.77,NA,32.39,68.46,45.3066666666667,"PL"
"90","03-30",37.42,32.8,65.86,68.46,46.91,32.76,31.98,36.08,41.99,46.15,38.07,65,NA,31.98,68.46,45.29,"PL"
"91","03-31",38.13,32.74,66.06,68.45,46.62,32.15,31.13,35.66,41.38,46,38.04,65.08,NA,31.13,68.45,45.12,"PL"
"92","04-01",38.7,31.87,66.21,68.38,46.37,30.76,31.13,35.69,41.38,46.05,38.21,65.02,NA,30.76,68.38,44.9808333333333,"PL"
"93","04-02",39.12,32.01,66.07,68.29,46.18,30.7,31.13,35.58,41.38,46.14,38.23,65.24,NA,30.7,68.29,45.0058333333333,"PL"
"94","04-03",39.84,32.18,65.87,68.32,45.95,30.61,31.18,35.58,41.38,46.19,38.22,65.49,NA,30.61,68.32,45.0675,"PL"
"95","04-04",39.84,32.33,65.63,68.36,45.78,30.67,31.18,35.68,41.48,46.24,38.23,65.69,NA,30.67,68.36,45.0925,"PL"
"96","04-05",40.26,32.5,65.48,68.41,45.6,30.75,31.18,35.87,41.6,46.3,38.22,65.82,NA,30.75,68.41,45.1658333333333,"PL"
"97","04-06",40.69,32.66,65.42,68.44,45.43,30.82,30.53,36.06,41.72,46.42,37.9,65.83,NA,30.53,68.44,45.16,"PL"
"98","04-07",40.97,32.82,65.38,68.44,45.25,30.87,30.45,36.25,41.84,46.56,37.51,66.08,NA,30.45,68.44,45.2016666666667,"PL"
"99","04-08",41.54,33.02,65.36,68.47,45.08,30.92,30.37,36.44,42.05,46.63,37.44,66.26,NA,30.37,68.47,45.2983333333333,"PL"
"100","04-09",42.11,33.26,65.34,68.6,44.91,30.95,30.35,36.65,42.13,46.75,37.62,66.45,NA,30.35,68.6,45.4266666666667,"PL"
"101","04-10",42.4,33.5,65.4,68.88,44.77,30.87,30.35,36.68,41.95,46.79,37.8,66.57,NA,30.35,68.88,45.4966666666667,"PL"
"102","04-11",42.68,33.73,65.6,69.14,44.7,30.94,30.35,36.72,41.73,46.83,37.97,66.79,NA,30.35,69.14,45.5983333333333,"PL"
"103","04-12",43.11,33.96,65.9,69.35,44.57,30.91,30.28,36.75,41.14,47.03,38.08,67.32,NA,30.28,69.35,45.7,"PL"
"104","04-13",43.25,34.27,66.24,69.55,44.46,30.96,30.18,36.78,40.7,47.19,37.92,58.46,NA,30.18,69.55,44.9966666666667,"PL"
"105","04-14",43.25,34.58,66.62,69.87,44.39,30.96,30.17,36.82,40.49,47.15,37.72,68.31,NA,30.17,69.87,45.8608333333333,"PL"
