"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"70","03-10",53.07,48.49,46.11,49.42,40.31,44.38,40.66,38.13,40.17,44.05,39.17,34.55,NA,38.13,53.07,43.2091666666667,"IT"
"71","03-11",52.69,48.49,45.88,49.03,40,43.95,40.61,37.99,40.11,43.82,38.87,34.19,NA,37.99,52.69,42.9691666666667,"IT"
"72","03-12",52.59,48.36,45.55,48.72,39.62,43.76,40.56,37.66,39.93,43.74,38.76,33.87,NA,37.66,52.59,42.76,"IT"
"73","03-13",52.48,48.27,45.13,48.46,39.2,43.61,40.28,37.39,39.64,43.67,38.77,33.59,NA,37.39,52.48,42.5408333333333,"IT"
"74","03-14",52.21,48.22,44.58,48.24,38.89,43.25,40.02,37.05,39.32,43.61,38.77,33.19,NA,37.05,52.21,42.2791666666667,"IT"
"75","03-15",51.95,48.25,43.99,48.24,38.54,42.72,39.82,36.64,39.21,43.57,38.53,32.87,NA,36.64,51.95,42.0275,"IT"
"76","03-16",51.7,48.35,43.49,48.3,38.14,42.26,39.67,36.34,39.25,43.51,38.26,32.61,NA,36.34,51.7,41.8233333333333,"IT"
"77","03-17",51.67,48.54,43.05,48.21,37.86,41.9,39.55,36.16,39.28,43.38,38.02,32.36,NA,36.16,51.67,41.665,"IT"
"78","03-18",51.66,48.67,42.47,48.12,37.61,41.57,39.63,35.99,39.17,43.41,37.75,32.11,NA,35.99,51.66,41.5133333333333,"IT"
"79","03-19",51.66,48.67,42.02,48.05,37.35,41.43,39.73,35.64,38.87,43.5,37.42,30.93,NA,35.64,51.66,41.2725,"IT"
"80","03-20",51.66,48.65,41.58,48.04,36.99,41.36,39.66,35.3,38.62,43.62,37.18,31.69,NA,35.3,51.66,41.1958333333333,"IT"
"81","03-21",51.39,48.73,41.33,48.07,36.84,41.16,39.57,34.95,38.44,43.86,37.04,31.44,NA,34.95,51.39,41.0683333333333,"IT"
"82","03-22",51.12,48.85,41.12,48.19,36.6,40.87,39.48,34.62,38.41,44.04,36.77,31.2,NA,34.62,51.12,40.9391666666667,"IT"
"83","03-23",50.91,48.99,40.87,48.24,36.46,40.58,39.42,34.33,38.48,43.94,36.51,30.96,NA,34.33,50.91,40.8075,"IT"
"84","03-24",50.81,49.16,40.65,48,36.21,40.36,39.41,34.15,37.59,43.83,36.28,30.74,NA,34.15,50.81,40.5991666666667,"IT"
"85","03-25",50.78,49.36,40.14,47.64,35.84,40.18,39.53,34.08,38.55,43.67,36.16,30.55,NA,34.08,50.78,40.54,"IT"
"86","03-26",50.84,49.46,39.54,47.24,35.55,40.09,39.68,33.82,38.44,43.49,36.13,30.36,NA,33.82,50.84,40.3866666666667,"IT"
"87","03-27",51.06,49.44,38.96,46.94,35.39,40.09,39.68,33.6,38.33,43.32,36.11,30.4,NA,33.6,51.06,40.2766666666667,"IT"
