"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"58","02-27",50.87,31.58,29.25,20.78,30.83,21.75,19.59,31.21,27.01,71.99,55.02,23.85,NA,19.59,71.99,34.4775,"HU"
"59","02-28",50.45,31.26,29.12,20.65,30.49,21.58,19.54,30.41,26.89,71.67,54.8,23.5,NA,19.54,71.67,34.1966666666667,"HU"
"60","02-29",NA,31.09,NA,NA,NA,21.4,NA,NA,NA,71.38,NA,NA,NA,NA,NA,NA,"HU"
"61","03-01",50.11,30.91,28.95,20.52,30.2,21.19,19.49,29.69,26.8,71.18,54.6,23.14,NA,19.49,71.18,33.8983333333333,"HU"
"62","03-02",49.72,30.78,28.79,20.35,29.87,20.96,19.44,29,26.68,70.99,54.41,22.78,NA,19.44,70.99,33.6475,"HU"
"63","03-03",49.44,30.66,28.64,20.17,29.51,20.76,19.39,28.41,26.56,70.78,54.25,22.44,NA,19.39,70.78,33.4175,"HU"
"64","03-04",49.24,30.47,28.46,20.02,29.15,20.59,19.35,27.87,26.46,70.53,54.12,22.21,NA,19.35,70.53,33.2058333333333,"HU"
"65","03-05",49.04,30.21,28.32,19.87,28.78,20.45,19.32,27.27,26.36,70.3,53.91,22.02,NA,19.32,70.3,32.9875,"HU"
"66","03-06",48.86,29.88,28.21,19.73,28.39,20.32,19.26,26.81,26.26,70.05,53.71,21.81,NA,19.26,70.05,32.7741666666667,"HU"
"67","03-07",48.63,29.53,28.13,19.59,28.04,20.16,19.19,26.47,26.17,69.89,53.52,21.5,NA,19.19,69.89,32.5683333333333,"HU"
"68","03-08",48.4,29.18,28.07,19.49,27.68,20.02,19.14,26.21,26.12,69.72,53.22,21.17,NA,19.14,69.72,32.3683333333333,"HU"
"69","03-09",48.2,28.89,28.03,19.37,27.33,19.86,19.06,26.01,26.08,69.51,52.94,20.93,NA,19.06,69.51,32.1841666666667,"HU"
"70","03-10",47.9,28.7,27.97,19.22,27.07,19.7,18.98,25.79,26.04,69.32,52.67,20.69,NA,18.98,69.32,32.0041666666667,"HU"
"71","03-11",47.71,28.51,27.91,19.1,26.82,19.59,18.92,25.63,25.94,69.14,52.44,20.43,NA,18.92,69.14,31.845,"HU"
"72","03-12",47.57,28.29,27.82,18.99,26.48,19.51,18.84,25.52,25.82,69.05,52.31,20.2,NA,18.84,69.05,31.7,"HU"
"73","03-13",47.51,28.14,27.74,18.9,26.14,19.42,18.75,25.36,25.72,68.91,52.26,20.03,NA,18.75,68.91,31.5733333333333,"HU"
"74","03-14",47.48,28.01,27.48,18.82,25.83,19.28,18.67,25.12,25.64,68.77,52.2,19.92,NA,18.67,68.77,31.435,"HU"
"75","03-15",47.46,27.94,27.13,18.74,25.56,19.09,18.59,24.88,25.57,68.61,52.11,19.83,NA,18.59,68.61,31.2925,"HU"
"76","03-16",47.41,27.88,26.86,18.65,25.31,18.9,18.55,24.64,25.53,68.41,51.97,19.69,NA,18.55,68.41,31.15,"HU"
"77","03-17",47.34,27.86,26.56,18.58,25.05,18.72,18.54,24.37,25.52,68.23,51.77,19.57,NA,18.54,68.23,31.0091666666667,"HU"
"78","03-18",47.2,27.86,26.23,18.51,24.78,18.58,18.56,24.02,25.46,68.11,51.54,19.48,NA,18.51,68.11,30.8608333333333,"HU"
"79","03-19",47,27.85,25.97,18.48,24.5,18.47,18.59,23.58,25.36,68,51.31,19.41,NA,18.47,68,30.71,"HU"
