"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"68","03-08",28.92,22.11,17.52,28.65,22.62,28.26,23.28,9.45,28.63,32.9,20.14,19.2,NA,9.45,32.9,23.47,"Frankrijk"
"69","03-09",28.7,21.75,17.5,28.5,22.26,27.75,23.1,9.17,28.73,32.44,19.54,18.86,NA,9.17,32.44,23.19,"Frankrijk"
"70","03-10",28.69,21.45,17.39,28.34,22.03,27.19,23.01,9.04,28.79,32.21,19.26,18.73,NA,9.04,32.21,23.01,"Frankrijk"
"71","03-11",28.64,21.15,17.06,28.16,21.75,26.75,22.97,8.93,28.5,32.14,19.33,18.77,NA,8.93,32.14,22.85,"Frankrijk"
"72","03-12",28.72,20.95,16.54,27.98,21.48,26.47,22.95,8.66,28.19,32.1,19.35,19.04,NA,8.66,32.1,22.7,"Frankrijk"
"73","03-13",28.81,20.82,15.84,27.84,21.17,26.19,22.69,8.36,27.8,31.65,19.27,19.16,NA,8.36,31.65,22.47,"Frankrijk"
"74","03-14",28.84,20.75,15.18,27.69,20.9,25.79,22.45,7.99,27.61,31.55,19.14,18.85,NA,7.99,31.55,22.23,"Frankrijk"
"75","03-15",28.86,20.69,14.66,27.66,20.59,25.47,22.3,7.65,27.6,31.59,18.93,18.77,NA,7.65,31.59,22.06,"Frankrijk"
"76","03-16",28.95,20.65,14.41,27.68,20.21,25.03,22.17,7.27,27.65,31.26,18.63,18.81,NA,7.27,31.26,21.89,"Frankrijk"
"77","03-17",28.92,20.63,14.18,27.61,19.95,24.51,22.05,6.95,27.63,31.28,18.27,18.96,NA,6.95,31.28,21.75,"Frankrijk"
"78","03-18",28.99,20.53,13.75,27.6,19.75,24.16,22,6.5,27.32,31.2,17.89,19.23,NA,6.5,31.2,21.58,"Frankrijk"
"79","03-19",28.98,20.37,13.46,27.53,19.53,23.96,21.92,5.9,26.92,31.19,17.57,19.78,NA,5.9,31.19,21.43,"Frankrijk"
"80","03-20",28.99,20.22,13.08,27.54,19.35,23.77,21.76,5.29,26.63,31.26,17.68,20.24,NA,5.29,31.26,21.32,"Frankrijk"
"81","03-21",28.91,20.06,12.7,27.52,19.21,23.28,21.49,4.77,26.46,31.47,17.83,20.51,NA,4.77,31.47,21.18,"Frankrijk"
"82","03-22",28.92,19.96,12.46,27.47,19.02,23.06,21.18,4.31,26.45,31.54,17.65,20.82,NA,4.31,31.54,21.07,"Frankrijk"
"83","03-23",28.97,19.92,12.21,27.33,18.72,22.76,20.92,3.88,26.8,31.44,17.65,21.18,NA,3.88,31.44,20.98,"Frankrijk"
"84","03-24",29.13,20.07,11.86,27.07,18.41,22.48,20.71,3.75,27.2,31.11,17.81,21.54,NA,3.75,31.11,20.93,"Frankrijk"
"85","03-25",29.31,20.24,11.33,26.87,18.08,22.26,20.59,3.7,27.33,30.76,17.99,22.14,NA,3.7,30.76,20.88,"Frankrijk"
"86","03-26",29.54,20.32,10.77,26.65,17.77,22.21,20.52,3.52,27.42,30.41,18.32,22.81,NA,3.52,30.41,20.86,"Frankrijk"
"87","03-27",29.76,20.6,10.2,26.33,17.5,22.19,20.31,3.32,27.41,30.33,18.62,23.44,NA,3.32,30.33,20.83,"Frankrijk"
"88","03-28",29.8,20.92,9.68,26.1,17.39,22.16,20.14,3.16,27.46,30.32,18.98,23.81,NA,3.16,30.32,20.83,"Frankrijk"
"89","03-29",29.85,21.27,9.3,26.16,17.33,22,20.05,3.04,28.07,30.21,19.33,24.09,NA,3.04,30.21,20.89,"Frankrijk"
"90","03-30",29.93,21.66,9.12,26.37,17.13,21.79,19.98,2.97,28.54,29.86,19.78,24.07,NA,2.97,29.93,20.93,"Frankrijk"
"91","03-31",30.01,21.96,8.81,26.49,16.95,21.4,19.87,2.9,24.79,29.46,19.62,23.66,NA,2.9,30.01,20.49,"Frankrijk"
"92","04-01",30.06,22.3,8.63,26.63,16.88,21.03,20.07,2.85,26.15,29.74,22.17,23.31,NA,2.85,30.06,20.82,"Frankrijk"
"93","04-02",30.24,22.41,8.24,26.88,16.76,21.15,20.31,2.82,30.57,29.89,22.73,23.07,NA,2.82,30.57,21.26,"Frankrijk"
"94","04-03",30.56,22.61,7.9,27.1,16.72,21.4,20.52,2.82,30.66,30.14,23.23,22.86,NA,2.82,30.66,21.38,"Frankrijk"
"95","04-04",30.62,22.73,7.52,27.27,16.87,21.62,20.75,2.88,30.68,30.66,23.76,22.58,NA,2.88,30.68,21.5,"Frankrijk"
"96","04-05",30.67,22.84,7.19,27.6,16.99,21.81,20.94,2.85,30.82,31.29,24.12,22.45,NA,2.85,31.29,21.63,"Frankrijk"
"97","04-06",30.81,22.97,6.96,27.95,17.08,22.02,21.12,2.95,31.35,32.21,23.93,22.56,NA,2.95,32.21,21.83,"Frankrijk"
"98","04-07",30.94,23.09,6.84,28.27,16.98,22.17,21.37,3.12,31.94,32.78,23.42,22.79,NA,3.12,32.78,21.98,"Frankrijk"
"99","04-08",31.27,23.2,6.68,28.46,17.01,22.25,21.71,3.31,32.24,33.53,23.02,22.77,NA,3.31,33.53,22.12,"Frankrijk"
