"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"70","03-10",38.04,49.22,30.08,40.04,24.69,39.05,18.3,21.77,44.85,77.35,32.93,14.29,NA,18.3,77.35,35.8841666666667,"AT"
"71","03-11",38.01,49.21,29.49,40.08,24.14,38.91,18.07,21.59,44.81,77.21,32.51,14.15,NA,18.07,77.21,35.6816666666667,"AT"
"72","03-12",38.11,49.11,28.84,40.18,23.69,38.84,17.87,21.36,44.73,77.11,32.13,14.12,NA,17.87,77.11,35.5075,"AT"
"73","03-13",38.3,49.07,28.09,40.24,23.29,38.74,17.39,21.01,44.73,76.93,31.79,14.09,NA,17.39,76.93,35.3058333333333,"AT"
"74","03-14",38.43,48.98,27.32,40.48,22.89,38.52,17.06,20.74,44.83,76.7,31.38,13.89,NA,17.06,76.7,35.1016666666667,"AT"
"75","03-15",38.66,48.99,26.52,40.67,22.52,38.26,16.76,20.38,44.98,76.51,30.82,13.64,NA,16.76,76.51,34.8925,"AT"
"76","03-16",38.92,48.98,25.82,40.87,22.05,38,16.5,19.85,45.25,76.33,30.23,13.42,NA,16.5,76.33,34.685,"AT"
"77","03-17",39.05,49.13,25.15,40.98,21.58,37.74,16.26,19.57,45.51,75.51,29.65,13.24,NA,16.26,75.51,34.4475,"AT"
"78","03-18",39.11,49.33,24.44,41.25,21.15,37.56,16.16,19.15,45.48,75.47,29.03,13.11,NA,16.16,75.47,34.27,"AT"
"79","03-19",39.16,49.42,23.74,41.58,20.71,37.47,16.12,18.6,45.47,75.32,28.43,12.98,NA,16.12,75.32,34.0833333333333,"AT"
"80","03-20",39.25,49.6,23.08,41.9,20.26,37.39,16.02,18.06,45.58,75.31,27.87,12.85,NA,16.02,75.31,33.9308333333333,"AT"
"81","03-21",39.16,49.7,22.31,42.15,19.91,37.21,15.85,17.52,45.74,75.28,27.38,12.6,NA,15.85,75.28,33.7341666666667,"AT"
"82","03-22",39.16,49.8,21.6,42.39,19.52,37.02,15.59,17,45.97,75.16,26.76,12.54,NA,15.59,75.16,33.5425,"AT"
"83","03-23",39.23,49.91,20.93,42.55,19.1,36.85,15.4,16.49,46.39,74.96,26.27,12.44,NA,15.4,74.96,33.3766666666667,"AT"
"84","03-24",39.36,50.15,20.2,42.43,18.71,36.69,15.18,16.24,46.83,74.66,25.76,12.38,NA,15.18,74.66,33.2158333333333,"AT"
"85","03-25",39.55,50.44,19.35,42.39,18.32,36.6,15.23,15.92,47.05,74.36,25.37,12.38,NA,15.23,74.36,33.08,"AT"
"86","03-26",40.13,50.53,18.56,42.27,17.96,36.81,15.07,15.51,47.26,74.08,25.15,12.7,NA,15.07,74.08,33.0025,"AT"
"87","03-27",39.98,50.94,18.01,42.35,17.57,36.51,14.91,15.24,47.39,73.83,25.28,12.78,NA,14.91,73.83,32.8991666666667,"AT"
"88","03-28",40.06,50.77,17.49,42.65,17.37,36.45,14.81,15.01,47.56,74.39,24.98,12.87,NA,14.81,74.39,32.8675,"AT"
"89","03-29",40.22,51,17.16,42.93,17.2,36.31,14.8,14.71,47.78,73.68,24.79,12.95,NA,14.71,73.68,32.7941666666667,"AT"
"90","03-30",40.38,51.2,16.91,43.28,16.82,36.2,14.83,14.47,48.43,73.52,24.68,12.99,NA,14.47,73.52,32.8091666666667,"AT"
