"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"26","01-26",61.63,69.11,58.08,61.62,58.99,56.04,44.11,51.03,55.74,74.28,54.58,39.45,NA,44.11,74.28,57.055,"EU"
"27","01-27",61.11,68.64,57.55,61.08,58.28,55.64,43.33,50.64,55.35,73.67,53.8,38.88,NA,43.33,73.67,56.4975,"EU"
"28","01-28",60.53,68.23,56.89,60.55,57.58,55.24,42.79,50.36,54.71,72.94,53.15,38.33,NA,42.79,72.94,55.9416666666667,"EU"
"29","01-29",60.04,67.82,56.37,59.98,56.83,54.87,42.26,49.91,54.04,72.3,52.6,37.98,NA,42.26,72.3,55.4166666666667,"EU"
"30","01-30",59.56,67.21,55.93,59.36,56.09,54.58,41.66,49.39,53.32,71.87,52.09,37.64,NA,41.66,71.87,54.8916666666667,"EU"
"31","01-31",58.94,66.43,55.54,58.84,55.47,54.32,41.03,48.85,52.6,71.37,51.51,37.11,NA,41.03,71.37,54.3341666666667,"EU"
"32","02-01",58.28,65.57,55.12,58.53,54.84,54.02,40.56,48.3,51.98,71.19,50.85,36.68,NA,40.56,71.19,53.8266666666667,"EU"
"33","02-02",57.67,64.62,54.77,57.75,54.03,53.69,40.13,47.71,51.52,70.99,50.26,36.26,NA,40.13,70.99,53.2833333333333,"EU"
"34","02-03",57.15,63.6,54.39,57.32,53.17,53.5,39.76,47.2,51.07,70.62,49.79,35.86,NA,39.76,70.62,52.7858333333333,"EU"
"35","02-04",56.77,62.59,53.89,57.37,52.32,53.07,39.48,46.64,50.46,70.16,49.28,35.53,NA,39.48,70.16,52.2966666666667,"EU"
"36","02-05",56.58,61.65,53.34,56.98,51.47,52.69,39.18,45.83,49.87,69.61,48.79,35.29,NA,39.18,69.61,51.7733333333333,"EU"
"37","02-06",56.42,60.63,52.8,56.63,50.61,52.44,38.66,44.95,49.19,68.98,48.4,35.08,NA,38.66,68.98,51.2325,"EU"
"38","02-07",56.13,59.59,52.19,56.32,49.82,52.2,38.1,44.06,48.9,68.47,47.86,34.7,NA,38.1,68.47,50.695,"EU"
"39","02-08",55.84,58.58,51.57,56.07,49.11,51.88,37.47,43.2,48.49,68.07,47.04,34.34,NA,37.47,68.07,50.1383333333333,"EU"
"40","02-09",55.52,57.59,51.02,55.82,48.33,51.53,36.74,42.42,48.22,67.78,46.15,34,NA,36.74,67.78,49.5933333333333,"EU"
"41","02-10",55.18,56.65,50.49,55.42,47.6,51.13,36,41.88,47.95,67.44,45.25,33.6,NA,36,67.44,49.0491666666667,"EU"
"42","02-11",54.88,55.78,49.79,55.03,46.84,50.71,35.45,41.4,47.44,67.06,44.35,33.2,NA,35.45,67.06,48.4941666666667,"EU"
"43","02-12",54.64,54.97,49.09,54.66,46.1,50.3,35.06,40.69,46.99,66.48,43.44,32.87,NA,35.06,66.48,47.9408333333333,"EU"
"44","02-13",54.42,54.07,48.35,54.27,45.44,50.01,34.56,39.96,46.52,65.95,42.59,32.62,NA,34.56,65.95,47.3966666666667,"EU"
"45","02-14",54.03,53.34,47.67,53.95,44.88,49.74,34,39.3,46.13,65.52,41.82,32.28,NA,34,65.52,46.8883333333333,"EU"
"46","02-15",53.64,52.78,47.13,53.72,44.36,49.29,33.56,38.66,45.82,65.32,41.03,31.92,NA,33.56,65.32,46.4358333333333,"EU"
