"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"108","04-17",51.34,56.67,19.3,61.63,29.73,52.66,31.59,16.27,56.89,74.78,24.72,31.07,NA,16.27,74.78,42.22,"Duitsland"
"109","04-18",51.68,56.51,19.67,61.9,29.71,52.71,31.49,16.62,57.23,75.2,24.74,31.5,NA,16.62,75.2,42.41,"Duitsland"
"110","04-19",52.13,56.3,20,62.16,29.7,52.82,31.42,17.07,57.75,75.61,24.69,31.89,NA,17.07,75.61,42.63,"Duitsland"
"111","04-20",52.6,56.22,20.35,62.51,29.7,52.88,31.35,17.48,58.27,75.84,24.73,32.11,NA,17.48,75.84,42.84,"Duitsland"
"112","04-21",53.12,56.27,20.65,62.88,29.73,53.04,31.42,18.01,58.81,76.11,24.83,32.38,NA,18.01,76.11,43.1,"Duitsland"
"113","04-22",53.65,56.45,20.94,63.17,29.71,53.14,31.53,18.66,59.4,76.38,24.85,32.72,NA,18.66,76.38,43.38,"Duitsland"
"114","04-23",54.2,56.46,21.25,63.41,29.73,53.27,31.62,19,59.84,76.58,24.9,33.18,NA,19,76.58,43.62,"Duitsland"
"115","04-24",54.75,56.46,21.6,63.7,29.77,53.34,31.66,19.33,60.29,76.83,25.08,33.66,NA,19.33,76.83,43.87,"Duitsland"
"116","04-25",55.31,56.44,21.96,63.99,29.87,53.31,31.72,19.67,60.67,77.14,25.29,33.81,NA,19.67,77.14,44.1,"Duitsland"
"117","04-26",55.79,56.55,22.42,64.21,29.99,51.42,31.69,19.99,61.01,77.42,25.43,33.93,NA,19.99,77.42,44.15,"Duitsland"
"118","04-27",56.25,56.6,22.77,64.42,30,51.23,31.69,20.19,61.38,77.54,25.63,34.02,NA,20.19,77.54,44.31,"Duitsland"
"119","04-28",56.38,56.83,23.12,64.59,29.92,51.11,31.7,20.58,61.67,77.68,25.77,34.33,NA,20.58,77.68,44.47,"Duitsland"
"120","04-29",56.84,57.09,23.42,64.8,29.83,51.04,31.79,21.03,61.8,77.9,25.8,34.6,NA,21.03,77.9,44.66,"Duitsland"
"121","04-30",57.37,57.36,23.8,65.02,29.89,51.15,31.99,21.35,62.01,78.18,25.71,35.12,NA,21.35,78.18,44.91,"Duitsland"
"122","05-01",57.83,57.6,22.17,65.34,30.15,51.31,32.19,21.62,62.34,78.48,25.76,35.74,NA,21.62,78.48,45.04,"Duitsland"
"123","05-02",58.1,57.67,22.66,65.64,30.39,51.44,32.29,21.8,62.55,78.78,25.79,36.12,NA,21.8,78.78,45.27,"Duitsland"
"124","05-03",58.22,57.73,23.14,65.91,30.72,51.58,32.35,22.02,62.77,79.06,25.68,36.5,NA,22.02,79.06,45.47,"Duitsland"
"125","05-04",58.34,57.86,23.73,66.14,31.04,51.77,32.38,22.29,63,79.2,25.71,36.94,NA,22.29,79.2,45.7,"Duitsland"
"126","05-05",58.41,57.96,24.35,66.35,31.4,52.13,32.43,22.69,63.23,79.3,25.55,37.39,NA,22.69,79.3,45.93,"Duitsland"
"127","05-06",58.58,58.03,24.94,66.62,31.67,52.52,32.58,23.17,63.33,79.4,25.32,37.7,NA,23.17,79.4,46.16,"Duitsland"
"128","05-07",58.97,58.03,25.51,66.86,31.86,53.06,32.75,23.66,63.52,79.58,25.19,38.21,NA,23.66,79.58,46.43,"Duitsland"
"129","05-08",59.42,58.13,26.17,67.07,32.02,53.58,32.79,24.2,63.71,79.97,25.33,38.7,NA,24.2,79.97,46.76,"Duitsland"
"130","05-09",59.82,58.43,26.84,67.31,32.27,54.03,32.75,24.73,63.87,80.47,25.74,39.05,NA,24.73,80.47,47.11,"Duitsland"
"131","05-10",60.2,58.69,27.48,67.55,32.56,54.47,32.77,25.33,64.05,80.99,26.16,39.29,NA,25.33,80.99,47.46,"Duitsland"
"132","05-11",60.53,58.96,28.1,67.78,32.86,54.86,32.87,25.92,64.3,81.25,26.46,39.64,NA,25.92,81.25,47.79,"Duitsland"
"133","05-12",60.57,59.12,28.66,67.91,33.12,55.26,33.03,26.6,64.52,81.11,26.72,39.86,NA,26.6,81.11,48.04,"Duitsland"
"134","05-13",60.9,59.33,29.16,68.06,33.39,55.63,33.25,27.3,64.7,81.13,26.93,40.52,NA,27.3,81.13,48.36,"Duitsland"
