"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"69","03-09",55.98,58.27,32.04,60.62,32.63,42.72,28.79,17.95,57.14,68.42,40.71,40.98,NA,17.95,68.42,44.6875,"DK"
"70","03-10",55.66,58.48,31.25,60.57,32.34,42.18,28.53,17.6,57.11,68.24,40.16,40.64,NA,17.6,68.24,44.3966666666667,"DK"
"71","03-11",55.43,58.74,30.12,60.6,32.13,41.72,28.43,17.47,56.63,68.12,39.76,40.24,NA,17.47,68.12,44.1158333333333,"DK"
"72","03-12",55.54,58.81,29.03,60.32,31.79,41.29,28.2,17.4,56.28,68.01,39.55,40.03,NA,17.4,68.01,43.8541666666667,"DK"
"73","03-13",55.06,58.99,28.42,60.26,31.58,40.91,27.67,17.49,56.11,67.75,39.51,39.98,NA,17.49,67.75,43.6441666666667,"DK"
"74","03-14",55.18,58.87,27.59,60.26,31.41,40.79,27.25,17.34,55.79,67.64,39.45,39.53,NA,17.34,67.64,43.425,"DK"
"75","03-15",55.72,58.68,26.95,60.25,31.25,40.45,26.92,17.27,55.47,67.59,39.23,39.13,NA,17.27,67.59,43.2425,"DK"
"76","03-16",55.84,58.68,26.77,60.14,30.9,40.11,26.56,17.23,55.32,67.46,38.89,38.8,NA,17.23,67.46,43.0583333333333,"DK"
"77","03-17",55.89,59.03,26.09,59.97,30.57,39.89,26.13,17.05,55.28,67.3,38.53,38.49,NA,17.05,67.3,42.8516666666667,"DK"
"78","03-18",55.75,59.13,25.38,59.98,30.21,39.65,25.95,16.91,55.1,67.17,38.07,38.26,NA,16.91,67.17,42.63,"DK"
"79","03-19",55.71,59.13,24.65,59.94,29.96,39.32,25.64,16.56,54.85,67.01,37.54,38.34,NA,16.56,67.01,42.3875,"DK"
"80","03-20",55.77,59,23.8,59.88,29.62,39.1,25.19,16.13,54.42,66.79,37.17,38.45,NA,16.13,66.79,42.11,"DK"
"81","03-21",55.77,59.06,23.3,59.92,29.16,38.72,24.84,15.9,54.52,66.68,36.86,38.16,NA,15.9,66.68,41.9075,"DK"
"82","03-22",55.86,59.1,23.2,60.02,28.6,38.64,24.39,15.55,54.71,66.56,36.45,37.87,NA,15.55,66.56,41.7458333333333,"DK"
"83","03-23",56.05,59.23,23.5,60.14,28.05,38.57,23.8,15.34,54.9,66.14,36.05,37.5,NA,15.34,66.14,41.6058333333333,"DK"
"84","03-24",56.35,59.5,23.71,59.87,27.75,38.54,23.43,15.31,55.07,65.89,35.83,37.25,NA,15.31,65.89,41.5416666666667,"DK"
"85","03-25",56.6,59.79,23.58,59.82,27.17,38.52,23.32,15.44,54.95,65.63,35.57,37.31,NA,15.44,65.63,41.475,"DK"
"86","03-26",56.83,60.03,23.69,59.6,26.9,38.75,22.84,15.2,54.99,65.26,35.43,37.43,NA,15.2,65.26,41.4125,"DK"
"87","03-27",57.03,60.06,23.76,59.51,26.17,38.97,22.6,14.84,55.09,64.97,35.35,37.56,NA,14.84,64.97,41.3258333333333,"DK"
"88","03-28",57.32,60.17,23.77,59.65,26.15,39.06,22.39,14.51,55.15,64.91,35.22,37.33,NA,14.51,64.91,41.3025,"DK"
"89","03-29",57.67,60.48,23.56,59.85,26.32,39.1,22.09,14.15,55.69,64.74,35.1,37.06,NA,14.15,64.74,41.3175,"DK"
"90","03-30",58.11,60.69,23.35,60.05,26.46,38.89,21.8,13.97,55.9,64.47,35.07,36.79,NA,13.97,64.47,41.2958333333333,"DK"
"91","03-31",58.5,61.1,23.23,60.13,26.08,38.74,21.75,14.03,56.12,64.12,35.11,36.55,NA,14.03,64.12,41.2883333333333,"DK"
"92","04-01",58.81,61.56,23.1,59.65,25.76,38.88,21.93,13.79,55.95,63.79,35.23,36.28,NA,13.79,63.79,41.2275,"DK"
"93","04-02",59.2,61.61,22.76,59.3,25.5,39.05,22.02,13.64,56.06,63.56,35.29,36.22,NA,13.64,63.56,41.1841666666667,"DK"
"94","04-03",59.75,61.44,22.5,58.93,25.32,39.22,21.75,13.53,55.84,63.23,35.36,36.22,NA,13.53,63.23,41.0908333333333,"DK"
"95","04-04",60,61.36,22.37,58.62,25.18,39.38,21.76,13.4,55.42,63.08,35.43,36.25,NA,13.4,63.08,41.0208333333333,"DK"
"96","04-05",60.35,61.5,22.06,58.33,24.98,39.51,21.92,13.59,55.63,63.1,35.26,36.05,NA,13.59,63.1,41.0233333333333,"DK"
"97","04-06",60.41,61.55,22.17,57.88,25.02,39.01,22.05,13.68,56.23,63.12,35.02,35.96,NA,13.68,63.12,41.0083333333333,"DK"
"98","04-07",60.73,61.55,22.31,57.68,24.91,39.07,22.3,13.75,56.57,63.13,34.57,36.16,NA,13.75,63.13,41.0608333333333,"DK"
"99","04-08",61.15,61.6,22.03,57.47,24.8,39.33,22.48,13.76,56.78,63.12,34.16,36.19,NA,13.76,63.12,41.0725,"DK"
"100","04-09",61.48,61.83,21.61,57.27,24.7,39.3,22.41,13.75,56.78,63.25,33.92,36.42,NA,13.75,63.25,41.06,"DK"
"101","04-10",61.92,62.06,21.17,56.81,24.64,39.49,22.49,13.58,56.79,63.37,33.9,36.75,NA,13.58,63.37,41.0808333333333,"DK"
"102","04-11",61.97,62.18,20.45,56.44,24.53,39.58,22.55,13.13,57.06,63.48,33.76,36.97,NA,13.13,63.48,41.0083333333333,"DK"
"103","04-12",62.07,62.18,19.71,56.51,24.36,39.71,22.71,12.83,56.99,63.62,33.43,37.22,NA,12.83,63.62,40.945,"DK"
"104","04-13",62.14,62.33,19.42,56.71,23.84,39.73,22.81,12.59,57.31,63.75,32.96,37.01,NA,12.59,63.75,40.8833333333333,"DK"
"105","04-14",62.14,62.49,19.35,56.33,23.67,39.75,25.54,12.6,57.66,63.56,32.61,37.2,NA,12.6,63.56,41.075,"DK"
"106","04-15",62.18,62.7,19.3,56.18,23.54,39.89,25.55,12.5,57.94,63.46,32.29,37.54,NA,12.5,63.46,41.0891666666667,"DK"
"107","04-16",62.47,62.7,19.23,56.12,23.45,40.01,25.57,12.27,58.58,63.48,31.89,38.01,NA,12.27,63.48,41.1483333333333,"DK"
"108","04-17",62.82,62.44,19.15,56.23,23.24,40.13,25.53,12.13,59,63.46,31.78,38.7,NA,12.13,63.46,41.2175,"DK"
"109","04-18",62.8,62.27,19.19,56.2,23.19,40.06,22.56,12.29,59.22,63.61,31.83,39.33,NA,12.29,63.61,41.0458333333333,"DK"
"110","04-19",63.23,62.21,18.68,56.34,23.07,40.01,22.21,12.61,59.75,63.75,31.76,39.8,NA,12.61,63.75,41.1183333333333,"DK"
"111","04-20",63.68,62.3,18.61,56.57,23.01,40.1,22.11,12.78,60.31,63.75,31.79,40.12,NA,12.78,63.75,41.2608333333333,"DK"
"112","04-21",64.22,62.44,18.6,56.85,22.89,40.17,22.3,12.83,60.89,63.91,31.93,40.24,NA,12.83,64.22,41.4391666666667,"DK"
"113","04-22",64.83,62.68,18.59,57.19,22.8,40.24,22.5,13.09,61.51,64.01,31.84,40.18,NA,13.09,64.83,41.6216666666667,"DK"
"114","04-23",65.37,62.68,18.58,57.4,22.75,40.24,22.69,13.52,61.52,64.11,31.62,40.46,NA,13.52,65.37,41.745,"DK"
"115","04-24",66.05,62.69,18.58,57.41,22.66,40.19,22.84,13.67,61.77,64.29,31.7,40.82,NA,13.67,66.05,41.8891666666667,"DK"
"116","04-25",66.61,62.72,18.55,57.59,22.57,40,25.61,14.28,61.92,64.63,31.76,40.78,NA,14.28,66.61,42.2516666666667,"DK"
"117","04-26",67.09,62.76,18.56,57.89,22.45,39.54,22.94,13.73,61.95,64.95,31.52,40.98,NA,13.73,67.09,42.03,"DK"
"118","04-27",67.57,62.77,18.44,58.2,22.03,39.35,22.93,13.91,62.27,65.05,31.52,41.02,NA,13.91,67.57,42.0883333333333,"DK"
"119","04-28",68.12,62.79,17.88,58.3,21.54,38.71,22.84,14.06,62.94,65.12,31.38,41.32,NA,14.06,68.12,42.0833333333333,"DK"
"120","04-29",68.64,63.02,17.26,58.63,21.47,37.97,22.86,14.22,63.14,65.08,31.32,42.1,NA,14.22,68.64,42.1425,"DK"
"121","04-30",69.14,63.13,16.69,58.84,21.39,37.83,22.98,14.32,63.49,65.02,31.15,42.79,NA,14.32,69.14,42.2308333333333,"DK"
"122","05-01",66.5,68.24,17.78,54.47,23.45,40.17,23.34,15.13,65.58,68.15,32.31,43.49,NA,15.13,68.24,43.2175,"DK"
"123","05-02",69.49,68.66,17.03,61.27,23.54,40.38,23.35,15.1,66.02,68.38,32.34,44.05,NA,15.1,69.49,44.1341666666667,"DK"
"124","05-03",69.6,68.84,16.6,61.58,23.73,40.73,23.38,15.12,66.54,68.62,32.3,44.4,NA,15.12,69.6,44.2866666666667,"DK"
"125","05-04",69.54,69.06,16.43,61.78,23.89,41.13,23.52,15.15,66.97,68.72,32.14,43.86,NA,15.15,69.54,44.3491666666667,"DK"
"126","05-05",69.53,69.38,15.85,61.84,24.02,41.46,23.66,15.44,67.48,68.8,31.96,43.87,NA,15.44,69.53,44.4408333333333,"DK"
"127","05-06",69.8,69.64,15.49,62.06,24.21,42.08,23.75,15.72,67.61,68.9,31.62,44.24,NA,15.49,69.8,44.5933333333333,"DK"
"128","05-07",70.26,69.4,15.1,62.36,24.56,42.81,23.9,15.99,67.82,69.05,31.2,44.95,NA,15.1,70.26,44.7833333333333,"DK"
"129","05-08",70.74,69.23,11.57,62.62,24.88,43.31,23.96,16.35,67.92,69.32,31.31,45.62,NA,11.57,70.74,44.7358333333333,"DK"
"130","05-09",71.2,69.11,12.13,63.05,25.16,43.96,23.92,16.77,68.14,69.65,31.64,46.26,NA,12.13,71.2,45.0825,"DK"
"131","05-10",71.67,69.14,12.64,63.46,25.12,44.54,23.68,17.19,68.4,70.02,31.98,47.26,NA,12.64,71.67,45.425,"DK"
"132","05-11",72.02,69.12,13.01,63.87,25.41,45.26,23.49,17.6,68.81,70.23,32.09,48.32,NA,13.01,72.02,45.7691666666667,"DK"
"133","05-12",72.41,68.56,13.44,64.12,25.53,45.76,23.63,17.95,69.27,70.34,32.01,49.24,NA,13.44,72.41,46.0216666666667,"DK"
"134","05-13",72.7,68.38,17.51,64.36,25.76,46.23,23.79,18.39,69.69,70.43,32.04,50.29,NA,17.51,72.7,46.6308333333333,"DK"
"135","05-14",73.12,68.44,17.78,64.51,26.14,46.68,23.92,18.63,70.12,70.54,32.28,51.25,NA,17.78,73.12,46.9508333333333,"DK"
"136","05-15",73.41,68.44,18.12,64.92,26.53,47.1,24.07,18.84,70.51,70.71,32.36,52.28,NA,18.12,73.41,47.2741666666667,"DK"
"137","05-16",73.49,68.41,18.5,65.47,26.86,47.36,24.27,19.09,70.9,70.96,32.44,52.71,NA,18.5,73.49,47.5383333333333,"DK"
"138","05-17",73.45,68.56,18.98,66.05,27.28,47.74,24.53,19.15,71.34,71.21,32.43,53.42,NA,18.98,73.45,47.845,"DK"
"139","05-18",73.48,68.78,19.47,66.52,27.58,48.03,24.79,19.23,71.8,71.38,32.33,54.37,NA,19.23,73.48,48.1466666666667,"DK"
"140","05-19",73.71,69.04,19.95,66.87,27.87,48.59,25.09,19.55,72.35,71.53,32.46,55.23,NA,19.55,73.71,48.52,"DK"
"141","05-20",74.11,69.32,20.36,67.23,28.11,49.01,25.41,19.87,72.8,71.67,32.83,56.11,NA,19.87,74.11,48.9025,"DK"
"142","05-21",74.53,69.58,20.56,67.78,28.41,49.73,25.75,20.25,73.15,71.91,32.93,56.94,NA,20.25,74.53,49.2933333333333,"DK"
"143","05-22",75.04,69.71,20.79,66.08,28.8,50.44,26,20.55,73.64,72.2,33.05,57.94,NA,20.55,75.04,49.52,"DK"
"144","05-23",75.37,69.77,20.79,66.55,29.02,51.17,26.41,20.97,74.05,72.51,33.18,58.93,NA,20.79,75.37,49.8933333333333,"DK"
