"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"110","04-19",NA,NA,NA,41.13,46.89,46.62,30.86,26.53,30.97,31.89,20.7,17.83,NA,26.53,46.89,31.54,"Hongarije"
"111","04-20",NA,NA,NA,41.21,46.89,46.4,30.48,26.56,31.55,32.1,20.78,17.83,NA,26.56,46.89,31.57,"Hongarije"
"112","04-21",NA,NA,NA,41.28,46.89,46.52,30.22,26.74,32.26,32.31,20.9,17.83,NA,26.74,46.89,31.71,"Hongarije"
"113","04-22",NA,NA,NA,41.39,46.89,46.75,30.04,26.97,32.94,32.52,21.08,17.83,NA,26.97,46.89,31.88,"Hongarije"
"114","04-23",NA,NA,NA,41.73,47.06,47,30,27.17,33.51,32.73,21.32,17.88,NA,27.17,47.06,32.08,"Hongarije"
"115","04-24",NA,NA,NA,41.77,47.21,47.12,29.99,27.41,34.18,33.01,21.62,17.93,NA,27.41,47.21,32.31,"Hongarije"
"116","04-25",NA,NA,NA,41.83,47.23,47.12,29.95,27.66,34.91,33.45,21.97,17.94,NA,27.66,47.23,32.53,"Hongarije"
"117","04-26",NA,NA,NA,41.88,47.29,47.13,29.94,27.95,35.5,33.81,22.22,17.96,NA,27.95,47.29,32.73,"Hongarije"
"118","04-27",NA,NA,NA,41.94,47.35,47.13,29.86,28.2,36.17,34.11,22.22,17.99,NA,28.2,47.35,32.88,"Hongarije"
"119","04-28",NA,NA,NA,42.07,47.44,46.71,29.77,28.51,36.83,34.57,22.22,17.99,NA,28.51,47.44,33.01,"Hongarije"
"120","04-29",NA,NA,NA,42.11,47.46,46.51,29.71,28.84,37.24,34.98,22.54,18.03,NA,28.84,47.46,33.16,"Hongarije"
"121","04-30",NA,NA,NA,42.06,47.48,46.51,29.67,29.13,37.61,35.35,22.96,18.1,NA,29.13,47.48,33.35,"Hongarije"
"122","05-01",NA,NA,NA,42.12,47.59,46.51,29.86,29.42,37.98,35.75,23.24,18.28,NA,29.42,47.59,33.58,"Hongarije"
"123","05-02",NA,NA,NA,42.22,47.73,46.5,30.17,29.68,38.41,36.16,23.59,18.29,NA,29.68,47.73,33.82,"Hongarije"
"124","05-03",NA,NA,NA,42.4,47.87,46.5,30.37,29.93,38.78,36.54,23.83,18.29,NA,29.93,47.87,34.01,"Hongarije"
"125","05-04",NA,NA,NA,42.4,48.04,46.49,30.58,30.18,39.2,36.96,23.96,18.3,NA,30.18,48.04,34.21,"Hongarije"
"126","05-05",NA,NA,NA,42.4,48.15,46.78,30.49,30.5,39.35,37.18,24.17,18.34,NA,30.49,48.15,34.37,"Hongarije"
"127","05-06",NA,NA,NA,42.46,48.33,47.03,30.88,30.84,39.36,37.27,24.25,18.36,NA,30.84,48.33,34.54,"Hongarije"
"128","05-07",NA,NA,NA,42.53,48.53,47.25,31.19,31.23,39.57,37.54,24.33,18.38,NA,31.19,48.53,34.75,"Hongarije"
"129","05-08",NA,NA,NA,42.67,48.76,47.45,31.55,31.67,39.63,37.84,24.56,18.42,NA,31.55,48.76,34.98,"Hongarije"
"130","05-09",NA,NA,NA,42.91,49.02,47.61,31.75,32.1,39.68,38.31,25.06,18.48,NA,31.75,49.02,35.25,"Hongarije"
"131","05-10",NA,NA,NA,42.98,49.29,47.76,31.88,32.42,40.01,38.8,25.58,18.5,NA,31.88,49.29,35.53,"Hongarije"
"132","05-11",NA,NA,NA,43.09,49.51,47.87,32.03,32.74,40.38,39.01,25.96,18.52,NA,32.03,49.51,35.75,"Hongarije"
"133","05-12",NA,NA,NA,43.17,49.71,47.97,32.39,33.09,40.71,39.16,26.39,18.56,NA,32.39,49.71,36,"Hongarije"
"134","05-13",NA,NA,NA,43.33,49.93,48.13,32.81,33.38,40.74,39.29,26.89,19.14,NA,32.81,49.93,36.29,"Hongarije"
"135","05-14",NA,NA,NA,43.34,50.14,48.26,33.18,33.67,40.8,39.46,27.4,19.22,NA,33.18,50.14,36.52,"Hongarije"
"136","05-15",NA,NA,NA,43.36,50.36,48.32,33.5,33.95,40.89,39.65,28.05,19.33,NA,33.5,50.36,36.76,"Hongarije"
"137","05-16",NA,NA,NA,43.36,50.64,48.37,33.82,34.23,40.95,39.86,28.68,19.39,NA,33.82,50.64,36.99,"Hongarije"
"138","05-17",NA,NA,NA,43.36,50.98,48.44,34.15,34.53,41.14,40.26,29.16,19.61,NA,34.15,50.98,37.28,"Hongarije"
"139","05-18",NA,NA,NA,43.5,51.25,48.57,34.47,34.81,41.43,40.51,29.55,19.96,NA,34.47,51.25,37.57,"Hongarije"
"140","05-19",NA,NA,NA,43.85,51.52,48.69,34.81,35.12,41.76,40.72,29.92,20.11,NA,34.81,51.52,37.83,"Hongarije"
"141","05-20",NA,NA,NA,44.06,51.79,48.82,35.15,35.46,42.14,40.86,30.34,20.36,NA,35.15,51.79,38.12,"Hongarije"
"142","05-21",NA,NA,NA,44.14,52.12,49.02,35.58,35.79,42.54,41.01,30.84,20.61,NA,35.58,52.12,38.44,"Hongarije"
"143","05-22",NA,NA,NA,44.3,52.4,49.26,35.89,36.1,42.85,41.16,31.41,20.85,NA,35.89,52.4,38.74,"Hongarije"
"144","05-23",NA,NA,NA,44.41,52.68,49.46,36.19,36.4,43.21,41.38,32.06,21.06,NA,36.19,52.68,39.06,"Hongarije"
"145","05-24",NA,NA,NA,44.5,52.97,49.66,36.49,36.76,43.63,41.65,32.54,21.2,NA,36.49,52.97,39.36,"Hongarije"
"146","05-25",NA,NA,NA,44.77,53.29,49.89,36.8,37.1,44.1,41.82,33.04,21.34,NA,36.8,53.29,39.67,"Hongarije"
"147","05-26",NA,NA,NA,44.88,53.62,50.14,37.13,37.48,44.57,42.15,33.59,21.44,NA,37.13,53.62,40.02,"Hongarije"
"148","05-27",NA,NA,NA,45.17,53.93,50.36,37.48,37.86,44.9,42.25,33.98,21.61,NA,37.48,53.93,40.3,"Hongarije"
"149","05-28",NA,NA,NA,45.34,54.21,50.61,37.89,38.2,45.46,42.37,34.54,21.71,NA,37.89,54.21,40.62,"Hongarije"
"150","05-29",NA,NA,NA,45.45,54.4,50.83,38.23,38.44,45.78,42.52,35.14,21.89,NA,38.23,54.4,40.9,"Hongarije"
"151","05-30",NA,NA,NA,45.62,54.66,51.02,38.53,38.76,46.14,42.83,35.73,22.02,NA,38.53,54.66,41.21,"Hongarije"
"152","05-31",NA,NA,NA,45,54.93,51.2,38.82,39.13,46.69,43.13,36.27,22.32,NA,38.82,54.93,41.56,"Hongarije"
"153","06-01",NA,NA,NA,45.43,55.31,51.79,39.22,39.47,47.26,43.52,36.86,22.69,NA,39.22,55.31,42.02,"Hongarije"
"154","06-02",NA,NA,NA,45.82,55.47,52.36,39.79,39.89,47.87,43.91,37.47,23.04,NA,39.79,55.47,42.48,"Hongarije"
"155","06-03",NA,NA,NA,46.24,55.51,52.9,40.46,40.4,48.46,44.43,38.11,23.64,NA,40.4,55.51,42.99,"Hongarije"
"156","06-04",NA,NA,NA,46.62,56.1,53.48,41.18,40.82,49.05,44.94,38.74,23.96,NA,40.82,56.1,43.53,"Hongarije"
"157","06-05",NA,NA,NA,47.08,56.52,53.94,41.73,41.2,49.63,45.4,39.29,24.29,NA,41.2,56.52,44,"Hongarije"
"158","06-06",NA,NA,NA,47.55,56.94,54.29,42.25,41.49,50.19,45.91,39.94,24.6,NA,41.49,56.94,44.45,"Hongarije"
"159","06-07",NA,NA,NA,48.05,57.38,54.64,42.75,41.83,50.77,46.45,40.43,24.91,NA,41.83,57.38,44.9,"Hongarije"
"160","06-08",NA,NA,NA,48.53,57.77,55,43.27,42.16,51.38,47.06,40.91,25.21,NA,42.16,57.77,45.34,"Hongarije"
"161","06-09",NA,NA,NA,49.01,58.15,55.38,43.74,42.62,51.98,47.46,41.38,25.58,NA,42.62,58.15,45.79,"Hongarije"
