"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"130","05-09",60.14,57.52,13.79,53.39,26.54,38.03,35.39,30.63,49.71,53.92,27.09,46.99,NA,13.79,60.14,41.095,"CZ"
"131","05-10",60.66,57.72,13.83,53.95,27.02,38.5,35.54,31.07,50.08,54.61,27.46,47.72,NA,13.83,60.66,41.5133333333333,"CZ"
"132","05-11",61.33,57.92,13.9,54.45,27.44,38.98,35.68,31.46,50.44,55.14,27.85,48.53,NA,13.9,61.33,41.9266666666667,"CZ"
"133","05-12",61.79,58.17,13.97,54.93,27.87,39.4,35.95,31.89,50.77,55.53,28.18,49.26,NA,13.97,61.79,42.3091666666667,"CZ"
"134","05-13",62.24,58.42,13.98,55.27,28.31,39.83,36.24,32.3,51.05,55.92,28.51,50.01,NA,13.98,62.24,42.6733333333333,"CZ"
"135","05-14",62.76,58.54,14.02,55.54,28.73,40.17,36.54,32.61,51.32,56.31,28.8,50.77,NA,14.02,62.76,43.0091666666667,"CZ"
"136","05-15",63.19,58.7,14.12,55.81,29.13,40.47,36.83,32.94,51.57,56.75,29.08,51.53,NA,14.12,63.19,43.3433333333333,"CZ"
"137","05-16",63.6,58.75,14.24,56.26,29.57,40.64,37.12,33.33,51.81,57.31,29.36,52.27,NA,14.24,63.6,43.6883333333333,"CZ"
"138","05-17",64.02,58.78,14.44,56.86,30.02,40.85,37.43,33.73,52.11,57.87,29.49,52.99,NA,14.44,64.02,44.0491666666667,"CZ"
"139","05-18",64.48,58.89,14.66,57.51,30.46,41.13,37.74,34.06,52.55,58.37,29.62,53.69,NA,14.66,64.48,44.43,"CZ"
"140","05-19",65.12,59.04,14.88,58.14,30.91,41.42,38.05,34.45,53.01,58.91,29.74,54.41,NA,14.88,65.12,44.84,"CZ"
"141","05-20",65.75,59.31,15.26,58.82,31.32,41.82,38.42,34.83,53.41,59.52,29.92,55.15,NA,15.26,65.75,45.2941666666667,"CZ"
"142","05-21",66.4,59.55,15.66,59.34,31.73,42.31,38.79,35.2,53.82,60.11,30.16,55.88,NA,15.66,66.4,45.7458333333333,"CZ"
"143","05-22",67.04,59.8,16.02,59.9,32.15,42.82,39.14,35.59,54.25,60.82,30.4,56.6,NA,16.02,67.04,46.2108333333333,"CZ"
"144","05-23",67.74,60.13,16.25,60.52,32.58,43.28,39.46,35.97,54.52,61.45,30.61,57.36,NA,16.25,67.74,46.6558333333333,"CZ"
"145","05-24",68.29,60.59,16.47,61.21,33.03,43.7,39.8,36.37,55.15,62.07,30.84,58.1,NA,16.47,68.29,47.135,"CZ"
"146","05-25",68.78,60.92,16.77,61.89,33.42,44.09,40.3,36.75,55.77,62.64,31.15,58.82,NA,16.77,68.78,47.6083333333333,"CZ"
"147","05-26",69.26,61.38,16.99,62.51,33.82,44.55,40.76,37.15,56.4,63.15,31.38,59.53,NA,16.99,69.26,48.0733333333333,"CZ"
"148","05-27",69.82,61.93,17.1,63.03,34.12,45,41.28,37.57,57.01,63.64,31.58,60.24,NA,17.1,69.82,48.5266666666667,"CZ"
"149","05-28",70.42,62.33,17.2,63.63,34.44,45.43,41.8,37.98,57.61,64.13,31.88,60.96,NA,17.2,70.42,48.9841666666667,"CZ"
"150","05-29",71.07,62.79,17.3,64.29,34.82,45.87,42.26,38.38,58.24,64.64,32.23,61.68,NA,17.3,71.07,49.4641666666667,"CZ"
"151","05-30",71.66,63.14,17.59,64.93,35.27,46.29,42.64,38.77,58.92,65.22,32.53,62.31,NA,17.59,71.66,49.9391666666667,"CZ"
"152","05-31",72.3,63.41,17.89,65.6,35.71,46.67,42.89,39.17,59.61,65.69,32.83,62.92,NA,17.89,72.3,50.3908333333333,"CZ"
"153","06-01",72.77,64.65,18.24,66.13,36.34,47.17,43.67,39.45,58.97,66.22,33.05,63.31,NA,18.24,72.77,50.8308333333333,"CZ"
"154","06-02",73.2,64.98,18.62,66.59,37,47.75,44.48,39.73,59.65,66.73,33.53,63.94,NA,18.62,73.2,51.35,"CZ"
"155","06-03",73.61,65.3,18.99,66.9,37.54,48.39,45.17,40.01,60.35,67.25,33.97,64.59,NA,18.99,73.61,51.8391666666667,"CZ"
"156","06-04",73.98,65.63,19.35,67.24,38.11,49.03,45.87,40.29,61.09,67.71,34.47,65.26,NA,19.35,73.98,52.3358333333333,"CZ"
"157","06-05",74.35,65.92,19.68,67.56,38.76,49.68,46.6,40.57,61.84,68.23,34.96,65.92,NA,19.68,74.35,52.8391666666667,"CZ"
"158","06-06",74.72,66.15,20.06,67.94,39.39,50.29,47.43,40.85,62.56,68.78,35.46,66.55,NA,20.06,74.72,53.3483333333333,"CZ"
"159","06-07",74.99,66.3,20.57,68.46,39.91,50.91,48.25,41.13,63.25,69.33,35.91,67.2,NA,20.57,74.99,53.8508333333333,"CZ"
"160","06-08",75.24,66.48,21.27,68.96,40.49,51.54,49,41.49,64,69.88,36.29,67.62,NA,21.27,75.24,54.355,"CZ"
"161","06-09",75.5,66.7,22.04,69.52,41.1,52.17,49.7,41.9,64.75,70.35,36.65,68.07,NA,22.04,75.5,54.8708333333333,"CZ"
"162","06-10",75.8,66.95,22.62,69.96,41.68,52.84,50.43,42.3,65.46,70.8,37.14,68.42,NA,22.62,75.8,55.3666666666667,"CZ"
"163","06-11",76.16,67.21,23.19,70.31,42.22,53.52,51.17,42.61,66.2,71.31,37.6,68.89,NA,23.19,76.16,55.8658333333333,"CZ"
"164","06-12",76.49,67.36,23.73,70.82,42.81,54.18,51.86,43.1,66.96,71.8,38.12,69.35,NA,23.73,76.49,56.3816666666667,"CZ"
"165","06-13",76.79,67.48,24.23,71.26,43.47,54.8,52.62,43.58,67.68,72.34,38.9,69.8,NA,24.23,76.79,56.9125,"CZ"
"166","06-14",77.07,67.59,24.76,71.81,44.08,55.45,53.28,43.94,68.47,72.88,39.37,70.19,NA,24.76,77.07,57.4075,"CZ"
"167","06-15",77.3,67.75,25.27,72.4,44.66,56.12,54.04,44.41,69.19,73.41,39.83,70.52,NA,25.27,77.3,57.9083333333333,"CZ"
