"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"108","04-17",47.41,44.31,25.74,49.93,27.4,37.6,29.58,20.21,43.48,58.34,29.2,29.33,NA,20.21,58.34,36.8775,"EU"
"109","04-18",47.67,44.29,26.01,50.1,27.53,37.7,29.63,20.57,43.86,58.72,29.24,29.75,NA,20.57,58.72,37.0891666666667,"EU"
"110","04-19",47.94,44.29,26.23,50.33,27.65,37.83,29.55,20.95,44.33,59.12,29.19,30.03,NA,20.95,59.12,37.2866666666667,"EU"
"111","04-20",48.24,44.34,26.45,50.63,27.74,37.99,29.47,21.34,44.85,59.39,29.19,30.28,NA,21.34,59.39,37.4925,"EU"
"112","04-21",48.56,44.48,26.68,50.94,27.85,38.16,29.5,21.82,45.43,59.73,29.25,30.53,NA,21.82,59.73,37.7441666666667,"EU"
"113","04-22",48.92,44.65,26.86,51.14,27.96,38.34,29.69,22.36,46.01,59.48,29.31,30.85,NA,22.36,59.48,37.9641666666667,"EU"
"114","04-23",49.28,44.76,27.08,51.38,28.07,38.53,29.88,22.75,46.45,60.39,29.4,31.26,NA,22.75,60.39,38.2691666666667,"EU"
"115","04-24",49.68,44.86,27.34,51.59,28.21,38.69,30,23.05,46.91,60.74,29.66,31.68,NA,23.05,60.74,38.5341666666667,"EU"
"116","04-25",50.09,45.04,27.61,51.88,28.41,38.72,29.63,23.39,47.34,61.12,29.87,31.95,NA,23.39,61.12,38.7541666666667,"EU"
"117","04-26",50.4,45.21,27.91,52.11,28.62,38.38,30.09,23.72,47.77,61.48,29.96,32.15,NA,23.72,61.48,38.9833333333333,"EU"
"118","04-27",50.72,45.42,28.16,52.36,28.7,38.3,30.1,24.04,48.2,61.77,30.04,32.48,NA,24.04,61.77,39.1908333333333,"EU"
"119","04-28",50.99,45.74,28.4,52.48,28.77,38.23,30.14,24.44,48.56,62.03,30.13,32.75,NA,24.44,62.03,39.3883333333333,"EU"
"120","04-29",51.29,46.1,28.56,52.65,28.83,38.22,30.29,24.85,48.82,62.35,30.23,33.05,NA,24.85,62.35,39.6033333333333,"EU"
"121","04-30",51.64,46.35,28.86,52.89,28.96,38.34,30.58,25.13,49.11,62.65,30.04,33.45,NA,25.13,62.65,39.8333333333333,"EU"
"122","05-01",51.89,46.66,28.72,53.13,29.3,38.54,30.82,25.57,49.55,63.45,30.2,33.91,NA,25.57,63.45,40.145,"EU"
"123","05-02",52.23,46.91,28.96,53.49,29.59,38.72,30.96,25.78,49.91,63.81,30.42,34.3,NA,25.78,63.81,40.4233333333333,"EU"
"124","05-03",52.47,47.15,29.24,53.77,29.91,38.96,31.13,26.08,50.26,64.16,30.52,34.71,NA,26.08,64.16,40.6966666666667,"EU"
"125","05-04",52.71,47.44,29.6,54.05,30.19,39.22,31.32,26.26,50.63,64.48,30.64,35.1,NA,26.26,64.48,40.97,"EU"
"126","05-05",52.94,47.74,29.97,54.29,30.5,39.59,31.51,26.66,50.95,64.77,30.68,35.51,NA,26.66,64.77,41.2591666666667,"EU"
"127","05-06",53.25,48.02,30.31,54.56,30.78,39.96,31.77,27.04,51.13,65.06,30.69,35.93,NA,27.04,65.06,41.5416666666667,"EU"
