"","Maand_Dag","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Historical_Min","Historical_Max","Historical_Mean","Naam"
"69","03-09",60.75,69.82,49.21,76.95,30.27,37.97,17.24,13.21,50.23,49.77,26.99,19.99,NA,13.21,76.95,41.8666666666667,"NL"
"70","03-10",60.64,69.72,48.95,76.94,29.96,37.19,17.18,13.03,50.28,49.36,26.65,20.05,NA,13.03,76.94,41.6625,"NL"
"71","03-11",60.58,69.69,48.53,76.85,29.79,36.42,17.15,12.91,49.99,49.16,26.54,20.13,NA,12.91,76.85,41.4783333333333,"NL"
"72","03-12",60.51,69.62,48.08,76.73,29.53,35.88,17.16,12.63,49.78,48.76,26.29,20.21,NA,12.63,76.73,41.265,"NL"
"73","03-13",60.41,69.52,47.74,76.74,29.22,35.37,16.97,12.1,49.59,48.29,26.11,20.25,NA,12.1,76.74,41.0258333333333,"NL"
"74","03-14",60.35,69.41,47.44,76.75,28.8,34.73,16.88,11.92,49.4,47.94,25.94,20.18,NA,11.92,76.75,40.8116666666667,"NL"
"75","03-15",60.14,69.23,47.15,76.77,28.47,34,16.77,11.59,49.29,47.71,25.72,20.05,NA,11.59,76.77,40.5741666666667,"NL"
"76","03-16",59.69,69.12,46.91,76.79,27.96,33.31,16.75,11.37,49.29,47.44,25.39,20.02,NA,11.37,76.79,40.3366666666667,"NL"
"77","03-17",59.19,69.11,46.73,76.78,27.74,32.79,16.76,10.83,49.27,47.24,25.06,20.01,NA,10.83,76.78,40.1258333333333,"NL"
"78","03-18",59.04,69.11,46.45,76.75,27.42,32.25,16.73,10.23,49.03,47.02,24.63,19.98,NA,10.23,76.75,39.8866666666667,"NL"
"79","03-19",59.07,69.04,46.18,76.76,27.08,31.96,16.76,9.64,48.82,46.86,24.26,20.02,NA,9.64,76.76,39.7041666666667,"NL"
"80","03-20",59.1,68.98,45.93,76.79,26.65,31.67,16.74,9.24,48.69,46.61,23.97,19.9,NA,9.24,76.79,39.5225,"NL"
"81","03-21",59.17,68.97,45.71,76.79,26.23,31.16,16.76,8.77,48.63,46.41,23.78,19.88,NA,8.77,76.79,39.355,"NL"
"82","03-22",59.21,68.94,45.47,76.75,25.86,30.74,16.71,8.4,48.74,46.06,23.49,19.81,NA,8.4,76.75,39.1816666666667,"NL"
"83","03-23",59.19,68.94,45.14,76.66,25.32,30.44,16.75,8.05,48.75,45.75,23.3,19.81,NA,8.05,76.66,39.0083333333333,"NL"
"84","03-24",59.07,68.97,44.68,76.57,24.95,30.13,16.82,7.88,48.75,45.5,23.2,19.87,NA,7.88,76.57,38.8658333333333,"NL"
"85","03-25",58.94,69.03,44.18,76.52,24.73,30.03,16.9,7.83,48.58,45.35,23.07,19.99,NA,7.83,76.52,38.7625,"NL"
"86","03-26",58.71,68.99,43.86,76.5,24.48,30.13,16.98,7.58,48.38,45.26,23.12,20.13,NA,7.58,76.5,38.6766666666667,"NL"
"87","03-27",58.6,68.96,43.66,76.57,24.24,30.27,16.98,7.18,48.32,45.23,23.03,20.2,NA,7.18,76.57,38.6033333333333,"NL"
"88","03-28",58.5,68.98,43.48,76.47,24.18,30.33,16.99,6.8,48.34,45.25,23,20.24,NA,6.8,76.47,38.5466666666667,"NL"
"89","03-29",58.39,68.87,43.38,76.68,24.12,30.22,17.02,6.45,48.5,45.16,22.94,20.33,NA,6.45,76.68,38.505,"NL"
"90","03-30",58.28,68.87,43.35,76.92,23.94,30.16,17.1,6.19,48.73,44.58,22.92,20.35,NA,6.19,76.92,38.4491666666667,"NL"
"91","03-31",58.17,68.92,43.33,77.08,23.67,30.12,17.14,6.36,48.98,44.29,22.93,20.76,NA,6.36,77.08,38.4791666666667,"NL"
"92","04-01",58.02,68.88,43.37,77.32,23.44,30.13,17.66,6.29,49.38,44.09,23,21.26,NA,6.29,77.32,38.57,"NL"
"93","04-02",58,68.84,43.43,77.53,23.41,30.42,18.19,6.38,49.48,44.07,23,21.01,NA,6.38,77.53,38.6466666666667,"NL"
"94","04-03",57.97,68.8,43.48,77.73,23.47,30.87,18.62,6.47,49.36,43.99,23.03,20.82,NA,6.47,77.73,38.7175,"NL"
"95","04-04",58.03,68.76,43.54,77.89,23.54,31.19,18.96,6.65,49.15,44.09,23.05,20.6,NA,6.65,77.89,38.7875,"NL"
"96","04-05",58.04,68.76,43.72,78.09,23.63,31.31,19.28,6.54,49.03,44.27,22.81,20.45,NA,6.54,78.09,38.8275,"NL"
"97","04-06",58.11,68.84,43.93,78.33,23.71,31.72,19.35,6.71,49.11,44.37,22.29,20.52,NA,6.71,78.33,38.9158333333333,"NL"
"98","04-07",58.16,68.91,44.15,78.54,23.84,31.54,19.51,7.14,49.32,44.55,21.77,20.68,NA,7.14,78.54,39.0091666666667,"NL"
"99","04-08",58.28,68.99,44.14,78.76,23.87,31.58,19.92,7.62,49.39,44.79,21.47,20.8,NA,7.62,78.76,39.1341666666667,"NL"
"100","04-09",58.43,68.94,44.27,78.97,23.97,31.94,20.42,8.03,49.51,45.06,21.21,20.95,NA,8.03,78.97,39.3083333333333,"NL"
"101","04-10",58.71,68.9,44.42,79.19,24.11,32.38,20.84,8.32,49.42,45.28,20.95,21.09,NA,8.32,79.19,39.4675,"NL"
